# target,00100000100000001011001110010010111010101100001000
i,j,weight
0,0,0.423934
0,8,2.861598
0,16,1.241810
0,28,1.640769
0,29,-1.974645
0,34,-0.162387
0,36,2.644976
0,40,1.573072
0,42,-2.523340
0,44,-2.038705
0,47,-1.673842
0,48,1.439614
1,1,4.466183
1,2,2.173411
1,5,-1.494016
1,6,-1.779089
1,9,1.220409
1,10,1.767486
1,13,-4.151057
1,14,2.353153
1,23,2.689133
1,24,-1.729025
1,28,-1.270905
1,37,1.520151
1,39,2.810160
1,44,-0.075896
1,46,2.777517
1,47,-1.692760
2,2,-4.963245
2,3,2.171926
2,6,-1.609229
2,12,2.297425
2,13,1.098458
2,14,-2.805646
2,18,-1.218457
2,19,-1.778210
2,29,2.026624
2,30,-1.029394
2,32,-2.028028
2,38,-2.359431
2,44,-1.355148
2,46,2.397523
3,3,-0.201853
3,4,-1.634391
3,6,-1.111666
3,8,-2.745860
3,9,2.963832
3,17,1.884693
3,18,2.632220
3,21,1.570725
3,24,2.420496
3,28,-2.651654
3,29,2.973770
3,36,2.330043
3,39,2.992829
3,40,2.066950
3,45,-2.526222
3,49,1.165412
4,4,17.424986
4,9,1.062535
4,11,-1.457781
4,13,-2.260174
4,16,1.452586
4,25,1.903608
4,27,2.977860
4,29,2.741121
4,31,-2.171477
4,33,-2.793763
4,34,-1.024708
4,35,-4.501385
4,37,-2.071473
4,41,-2.007387
4,46,1.788259
4,48,2.410223
4,49,2.486665
5,5,1.872022
5,18,-2.978505
5,23,-1.532013
5,30,1.141858
5,32,2.740892
5,34,1.926357
5,37,2.494320
5,41,2.877756
5,42,-1.953079
5,49,-2.165617
6,6,3.427017
6,11,-2.153196
6,23,1.019989
6,28,-2.173542
6,34,2.389368
6,36,2.226520
6,39,2.137409
6,42,1.089538
6,48,-1.238316
7,7,14.160997
7,10,-2.319763
7,11,-2.393400
7,14,-2.629682
7,20,-2.611701
7,22,0.526961
7,35,-1.974554
7,36,1.174100
7,39,1.114918
7,44,-3.307967
7,45,-1.183006
7,47,-1.037205
8,8,-11.796867
8,10,2.303792
8,14,-1.727240
8,15,1.924682
8,17,1.385824
8,18,1.488147
8,19,1.051379
8,28,-2.981222
8,30,2.015343
8,39,4.166071
8,40,-1.820111
8,43,-1.219537
8,44,1.459459
8,45,1.556362
9,9,10.299223
9,11,-0.267479
9,22,3.281154
9,28,-2.974796
9,37,2.026018
9,38,-1.027641
9,45,-5.073112
9,48,-2.675996
10,10,3.188453
10,17,-2.517883
10,19,-1.599002
10,20,-1.351896
10,22,1.142623
10,23,-1.438980
10,26,-2.699026
10,32,1.634398
10,35,-1.000744
10,43,-1.585679
10,47,-1.382662
10,48,-2.495046
11,11,8.725748
11,13,-1.747950
11,14,0.335715
11,21,-2.853277
11,24,2.672175
11,32,-2.136591
11,34,1.318249
11,35,2.109225
11,36,2.903414
11,43,-1.340242
11,49,-4.025542
12,12,2.166323
12,17,-2.047950
12,23,2.894686
12,26,-2.507623
12,29,-1.529510
12,34,2.217600
12,37,-1.546010
12,45,-1.877308
12,46,-2.335974
12,49,1.876920
13,13,13.017176
13,15,-1.499280
13,18,-1.052897
13,22,-2.496776
13,25,-2.216263
13,33,-2.960808
13,38,2.706397
13,42,-2.909851
13,43,-2.450299
13,44,-2.753336
