# target,1011001000
i,j,weight
0,0,-0.069446
0,1,5.135476
0,2,2.269076
0,3,0.589016
0,4,5.555920
0,5,-10.724348
0,6,-5.400259
0,7,-10.724348
1,1,-0.804221
1,2,1.875657
1,3,2.106101
1,4,6.235228
1,5,-10.724348
1,6,-3.689733
1,8,-10.724348
2,2,-1.785757
2,3,7.616334
2,4,2.564730
2,5,-2.599792
2,6,-10.724348
2,7,-3.706137
2,8,-3.029741
2,9,5.003682
3,3,-1.711737
3,4,1.313975
3,5,-1.568876
3,6,-10.724348
3,7,-0.043942
3,8,-0.287854
3,9,-0.313916
4,4,-0.982091
4,5,4.780920
4,6,-3.276958
4,7,-10.724348
4,8,-10.724348
4,9,-10.724348
5,5,16.086522
5,6,6.945579
5,9,-10.724348
6,6,16.086522
6,7,6.344399
6,8,3.926226
6,9,-6.544209
7,7,16.086522
8,8,16.086522
9,9,16.086522
