# target,1011000100010010011001000010
i,j,weight
0,0,-0.167539
0,1,28.984367
0,2,11.564308
0,3,3.314024
0,4,1.331212
0,5,-7.970698
0,6,-7.970698
0,7,-7.970698
0,9,-7.970698
0,10,-7.970698
0,11,-7.970698
0,13,-7.970698
0,14,-7.970698
0,16,-7.970698
0,18,-7.970698
0,20,-7.970698
1,1,-0.957679
1,2,13.247207
1,3,5.064370
1,4,-0.155940
1,5,-7.970698
1,6,-7.970698
1,8,-7.970698
1,9,-7.970698
1,10,-7.970698
1,12,-7.970698
1,13,-7.970698
1,15,-7.970698
1,16,-7.970698
1,19,-7.970698
1,20,-7.970698
2,2,-0.339889
2,3,11.553812
2,4,5.625435
2,5,-0.515184
2,7,-7.970698
2,8,-7.970698
2,11,-7.970698
2,12,-7.970698
2,17,-7.970698
2,18,-7.970698
2,19,-7.970698
2,21,-7.970698
2,22,-7.970698
2,26,-7.970698
3,3,-0.322921
3,4,13.650698
3,6,0.029923
3,7,-0.591330
3,8,-0.323054
3,14,-7.970698
3,15,-7.970698
3,17,-7.970698
3,21,-7.970698
3,23,-7.970698
3,24,-7.970698
3,25,-7.970698
3,26,-7.970698
4,4,-1.273359
4,10,-1.218688
4,11,-0.869918
4,12,-1.212313
4,14,-0.531136
4,15,-1.061559
4,17,-1.149950
4,20,3.985349
4,22,-7.970698
4,23,-7.970698
4,24,-7.970698
4,25,-7.970698
4,27,-7.970698
5,5,11.956047
6,6,11.956047
7,7,11.956047
8,8,11.956047
9,9,11.956047
9,21,0.030596
10,10,11.956047
11,11,11.956047
12,12,11.956047
13,13,11.956047
13,22,1.543151
14,14,11.956047
15,15,11.956047
16,16,11.956047
16,23,0.848757
17,17,11.956047
18,18,11.956047
18,24,0.680316
19,19,11.956047
19,25,1.184148
20,20,11.956047
20,27,-7.970698
21,21,11.956047
22,22,11.956047
23,23,11.956047
24,24,11.956047
25,25,11.956047
26,26,11.956047
26,27,-0.329640
27,27,11.956047
