# target,101100100
i,j,weight
0,0,-3.583100
0,1,14.078987
0,2,0.061744
0,3,-0.009120
0,4,14.097278
0,5,-28.147780
0,6,-0.027231
0,7,-28.147780
1,1,1.046243
1,2,0.019988
1,3,0.031926
1,4,14.037839
1,5,-28.147780
1,6,0.017437
1,8,-28.147780
2,2,-2.120195
2,3,14.059454
2,4,0.029697
2,5,0.003955
2,6,-28.147780
2,7,-0.043430
2,8,0.014059
3,3,-1.842057
3,4,-0.080340
3,5,-0.024602
3,6,-28.147780
3,7,0.026913
3,8,0.030319
4,4,3.949420
4,5,-0.007856
4,6,0.040236
4,7,-28.147780
4,8,-28.147780
5,5,42.221669
6,6,42.221669
7,7,42.221669
8,8,42.221669
