# target,10110000000110000000001001
i,j,weight
0,0,-3.000000
0,1,4.000000
0,2,-3.000000
0,3,-1.000000
0,5,2.000000
0,6,-2.000000
0,7,2.000000
0,8,2.000000
0,9,2.000000
0,10,2.000000
0,11,-2.000000
0,14,2.000000
0,15,-2.000000
0,16,2.000000
0,19,2.000000
0,20,2.000000
0,21,2.000000
0,23,-2.000000
1,1,-3.000000
1,2,-1.000000
1,3,-1.000000
1,6,-2.000000
1,9,2.000000
1,12,2.000000
1,13,2.000000
1,16,2.000000
1,18,2.000000
1,19,2.000000
1,20,-2.000000
1,22,2.000000
1,23,-2.000000
1,24,-2.000000
1,25,2.000000
2,2,5.000000
2,3,-1.000000
2,5,-2.000000
2,7,-2.000000
2,9,1.000000
2,11,-2.000000
2,15,2.000000
2,17,-2.000000
2,18,2.000000
2,21,-2.000000
2,22,-2.000000
2,23,-1.000000
2,25,-2.000000
3,3,1.000000
3,8,2.000000
3,10,-2.000000
3,12,-2.000000
3,13,2.000000
3,14,-2.000000
3,16,-1.000000
3,17,2.000000
3,19,-1.000000
3,21,-1.000000
3,24,2.000000
4,5,-1.000000
4,6,-1.000000
4,7,1.000000
4,8,1.000000
4,10,1.000000
4,11,1.000000
4,12,1.000000
4,13,-1.000000
4,14,-1.000000
4,15,1.000000
4,17,-1.000000
4,18,-1.000000
4,20,-1.000000
4,22,1.000000
4,24,-1.000000
4,25,1.000000
5,5,2.000000
6,6,4.000000
7,7,1.000000
8,8,-1.000000
9,9,-1.000000
10,10,1.000000
11,11,3.000000
12,12,1.000000
14,14,2.000000
15,15,1.000000
17,17,2.000000
20,20,2.000000
21,21,2.000000
22,22,1.000000
23,23,4.000000
24,24,2.000000
25,25,1.000000
