# target,11000101010001101
i,j,weight
0,0,-12.774480
0,1,-7.939419
0,2,3.894553
0,3,4.059907
0,4,4.006585
0,5,-8.717044
0,6,5.314468
0,7,-5.463584
0,8,5.932546
0,9,-8.637219
0,10,5.370568
0,11,3.379845
0,12,4.343152
0,13,-7.748464
0,14,-10.669689
0,15,6.544672
0,16,-11.169384
1,1,-7.924095
1,2,5.433760
1,3,6.497174
1,4,3.957157
1,5,-7.151342
1,6,5.578479
1,7,-13.603742
1,8,4.757386
1,9,-6.826562
1,10,5.746520
1,11,6.003687
1,12,6.481554
1,13,-9.927820
1,14,-15.341575
1,15,4.531397
1,16,-11.775123
2,2,-1.413829
2,3,2.028760
2,4,-2.437206
2,5,7.929419
2,6,-2.979181
2,7,7.280476
2,8,0.556584
2,9,4.120157
2,10,-0.885659
2,11,-1.260130
2,12,0.917797
2,13,4.735185
2,14,3.256924
2,15,-2.905880
2,16,5.126250
3,3,-2.547123
3,4,-3.340281
3,5,3.149351
3,6,-1.171791
3,7,8.380934
3,8,0.309149
3,9,5.246882
3,10,-1.386078
3,11,-0.263591
3,12,0.174245
3,13,6.240978
3,14,6.425529
3,15,0.289920
3,16,6.987265
4,4,3.024714
4,5,5.313261
4,6,0.012490
4,7,7.109737
4,8,-0.953662
4,9,5.773899
4,10,0.023638
4,11,1.773046
4,12,-2.327030
4,13,7.587907
4,14,2.082997
4,15,-2.115528
4,16,6.380426
5,5,-5.127158
5,6,3.112899
5,7,-8.819740
5,8,6.370590
5,9,-12.233557
5,10,5.535429
5,11,5.150403
5,12,5.593843
5,13,-9.932602
5,14,-14.779918
5,15,7.977940
5,16,-13.200715
6,6,6.941908
6,7,8.089428
6,8,-2.819168
6,9,4.252922
6,10,-1.896650
6,11,-0.215192
6,12,-3.091372
6,13,4.118099
6,14,1.800554
6,15,0.336323
6,16,4.440673
7,7,-7.814898
7,8,6.858426
7,9,-10.696142
7,10,4.869183
7,11,6.222300
7,12,4.634920
7,13,-7.695094
7,14,-12.755287
7,15,5.834967
7,16,-10.558193
8,8,-1.570957
8,9,5.616401
8,10,0.842018
8,11,-0.178468
8,12,-1.116937
8,13,3.125773
8,14,7.149941
8,15,-2.131787
8,16,6.975501
9,9,-12.713659
9,10,5.644682
9,11,7.853182
9,12,8.632798
9,13,-11.119008
9,14,-13.749437
9,15,5.364829
9,16,-9.365476
10,10,2.759180
10,11,-0.409845
10,12,1.200763
10,13,3.944890
10,14,5.707308
10,15,-0.928048
10,16,4.531743
11,11,1.374263
11,12,-0.628102
11,13,5.389190
11,14,4.405757
11,15,-1.193698
11,16,3.896182
12,12,-0.255730
12,13,6.530906
12,14,4.871297
12,15,0.133078
12,16,4.781306
13,13,-2.255067
13,14,-12.888342
13,15,4.467561
13,16,-9.469314
14,14,9.442425
14,15,4.729706
14,16,-8.960256
15,15,-4.953902
15,16,6.408965
16,16,-2.654374
